"id" "start" "end" "sex" "cod" "exposure" "n" "fu" "cases" "HR" "CI_left" "CI_right"
1014 "B25" "B34" "All" "All" 4 165465 396166.883853582 1535 1.51284598958797 1.43892988514744 1.59055907576616
1014 "B25" "B34" "All" "All" 5 110834 466244.338947526 1638 1.36478090904132 1.30018457540302 1.43258654572661
1014 "B25" "B34" "All" "All" 6 75727 487948.151066697 1483 1.17005558036324 1.11187871619744 1.2312764343769
1015 "B35" "B49" "All" "All" 0 7371962 101302163.682289 1011163 1 NA NA
1015 "B35" "B49" "All" "All" 1 53732 23532.0034733139 7953 13.2215382450059 12.9325958888246 13.5169362026699
1015 "B35" "B49" "All" "All" 2 44563 21044.0435661352 2144 4.35716523208565 4.17633065867235 4.54582991896798
1015 "B35" "B49" "All" "All" 3 41857 37965.1513062355 2795 3.29380781474343 3.17371050074532 3.41844976657985
1015 "B35" "B49" "All" "All" 4 39300 90383.8055617935 4662 2.52463592961993 2.45299586971021 2.59836824669455
1015 "B35" "B49" "All" "All" 5 25774 97443.2781345909 3563 2.17920541165082 2.10865919142027 2.25211179003735
1015 "B35" "B49" "All" "All" 6 14575 88866.7620330863 1993 1.73906515008796 1.66423381019384 1.81726123921145
1016 "B50" "B64" "All" "All" 0 7376980 101582537.378674 1033054 1 NA NA
1016 "B50" "B64" "All" "All" 1 7549 3525.23165656112 439 18.0919494428545 16.4758424257161 19.8665795766481
1016 "B50" "B64" "All" "All" 2 7082 3426.00236544652 98 4.57373392476192 3.75217130357621 5.57518309320794
1016 "B50" "B64" "All" "All" 3 7085 6675.16966090276 134 3.49084703765881 2.94708153354488 4.13494262090313
1016 "B50" "B64" "All" "All" 4 7448 18421.1758739427 216 2.1623950254293 1.8923866195612 2.47092861345936
1016 "B50" "B64" "All" "All" 5 5799 23406.4306310353 183 1.41564118943964 1.22467840966011 1.6363805889207
1016 "B50" "B64" "All" "All" 6 3668 23407.3375028071 149 0.920449893578182 0.783888176411684 1.08080212469379
1017 "B65" "B83" "All" "All" 0 7377277 101588046.252893 1033924 1 NA NA
1017 "B65" "B83" "All" "All" 1 7687 3702.68812036829 50 4.2330717588239 3.20828070773608 5.58520221505085
1017 "B65" "B83" "All" "All" 2 7409 3572.55596227263 13 1.13327821857173 0.658041094622932 1.95173148179303
1017 "B65" "B83" "All" "All" 3 7268 6796.35802080994 32 1.44303802904143 1.02047214905596 2.0405836212053
1017 "B65" "B83" "All" "All" 4 7354 17713.0862414851 77 1.29117573001229 1.03270438278207 1.61433881134652
1017 "B65" "B83" "All" "All" 5 5316 20850.7112134142 91 1.37308830754597 1.11804913778552 1.68630468608362
1017 "B65" "B83" "All" "All" 6 3198 20717.073912718 86 1.17874836316994 0.954162717487805 1.45619576012576
1018 "B85" "B89" "All" "All" 0 7377957 101620930.175253 1033356 1 NA NA
1018 "B85" "B89" "All" "All" 1 5871 2651.42426828356 154 4.30094397250321 3.67250042970341 5.03692767603178
1018 "B85" "B89" "All" "All" 2 5059 2375.14924021259 85 2.64293326328201 2.13673754652884 3.26904735937732
1018 "B85" "B89" "All" "All" 3 4595 4123.71809267161 105 1.83338223581181 1.51418344438504 2.21987001314457
1018 "B85" "B89" "All" "All" 4 4171 10040.7402125908 230 1.6231741663092 1.42636258069347 1.84714210105865
1018 "B85" "B89" "All" "All" 5 2961 11292.5570102553 200 1.45792219652503 1.26921855160487 1.67468173895877
1018 "B85" "B89" "All" "All" 6 1649 9984.96228759638 143 1.575278081295 1.33710518065039 1.85587571517854
1019 "B90" "B94" "All" "All" 0 7376543 101595337.21944 1031193 1 NA NA
1019 "B90" "B94" "All" "All" 1 5495 2576.60175911371 310 4.679652741393 4.18657900104154 5.23079817067321
1019 "B90" "B94" "All" "All" 2 5284 2542.30487311924 152 2.35957098315528 2.01272807253404 2.76618352003147
1019 "B90" "B94" "All" "All" 3 5425 5023.54851411034 249 1.95532545108705 1.72690508836951 2.21395932261605
1019 "B90" "B94" "All" "All" 4 6275 14918.6890111535 683 1.81798996089464 1.68658691063087 1.95963070570576
1019 "B90" "B94" "All" "All" 5 5098 20766.7570551688 922 1.8014876827836 1.6888237234997 1.92166762348396
1019 "B90" "B94" "All" "All" 6 3281 20233.6057115054 764 1.70512664788674 1.58832816860619 1.83051395977247
1020 "B95" "B98" "All" "All" 0 7377438 101549802.811116 1027534 1 NA NA
1020 "B95" "B98" "All" "All" 1 26110 11833.1614117823 2307 9.48511717789386 9.1051415975698 9.88094989125594
1020 "B95" "B98" "All" "All" 2 22377 10517.737285725 732 3.68436101625833 3.426743963902 3.96134530070549
1020 "B95" "B98" "All" "All" 3 19893 17681.2032262894 1001 3.10183313095759 2.91536858907194 3.30022378932504
